Type,Filename or Regex,Version or Message digest,Documentation URL,Provider,Notice,License 1,License 2, License 3
JAVA,cxf-rt-wsdl-3.1.4.jar,3.1.4,,apache,,Apache-2.0,,
JAVA,cxf-rt-ws-policy-3.1.4.jar,3.1.4,,apache,,Apache-2.0,,
JAVA,drools-api-5.0.1.jar,5.0.1,,JBossDrools,,Apache-2.0,,
JAVA,elasticsearch-5.4.1.jar,5.4.1,,Oracle,,Apache-2.0,,
JAVA,EWSClient.jar,D4E24DD4AB4E84F4E3377B67D48378A3CCD15488C010E9A6B6202A83BD6544E6,,,,NLIL,,
JAVA,freemarker-2.3.23.jar,2.3.23.stable,,freemarker,,Apache-2.0,,
JAVA,geronimo-stax-api_1.0_spec-1.0.jar,7A497222657694E930B1C9CFF8F19708E2C6D3C7FCF538936DCA5D7754F3F5F0,,apache,,Apache-2.0,,
JAVA,guava-14.0.1.jar,14.0.1,,Google,,Apache-2.0,,
JAVA,guava-16.0.1.jar,16.0.1,,Google,,Apache-2.0,,
JAVA,guava-r09.jar,24505BC97DA50F4406EDED798ADDD54EFB9BF1DEB13AD23376FE9AFDBCB20C20,,Google,,Apache-2.0,,
JAVA,h2-1.3.175.jar,1.3.175,,h2group,,EPL-1.0,MPL-2.0,
JAVA,h2-1.4.196.jar,1.4.196,,h2group,,MPL-2.0,,
JAVA,h2-sources.jar,239D90C6D0200D578B73FB6BC949722F1B28C0B38720EABF289F1F60B7AB1371,,h2group,,EPL-1.0,MPL-2.0,
JAVA,hamcrest-core-1.3.jar,1.3,,hamcrest,,BSD-3-Clause,,
JAVA,HdrHistogram-2.1.9.jar,2.1.9,,HdrHistogram,,CC0-1.0,,
JAVA,HdrHistogram-2.1.10.jar,2.1.10,,HdrHistogram,,CC0-1.0,,
JAVA,hector-core-1.1-2.jar,1.1.0.2,,TODO,,NLIL,,
JAVA,HikariCP-2.7.1.jar,2.7.1,,zaxxer,,Apache-2.0,,
JAVA,hppc-0.7.1.jar,40D2A57F59E9EAE7B018D3B4841954087EE40A5C1DB6A54C3EA87742E3890391,,carrotsearch,,Apache-2.0,,
JAVA,httpasyncclient-4.1.2.jar,4.1.2,,apache,,Apache-2.0,,
JAVA,httpclient-4.5.2.jar,4.5.2,,apache,,Apache-2.0,,
JAVA,httpcore-4.4.5.jar,4.4.5,,apache,,Apache-2.0,,
JAVA,httpcore-nio-4.4.5.jar,4.4.5,,apache,,Apache-2.0,,
JAVA,identitymanagement-model.jar,69BBA7D131B8D2C3A84369C697FFB123C748ACAD5F48A9327CCC2E8264FAA19E,,unknown,,NLIL,,
